Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Transmission_Type,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
BMW,750LI XDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Automatic,PREMIUM GASOLINE,15.2,9.8,12.8,294
BMW,760LI SEDAN,FULL-SIZE,6.0,12,AS8,Automatic,PREMIUM GASOLINE,18.7,11.6,15.5,356
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,AS8,Automatic,PREMIUM GASOLINE,9.7,7.5,8.7,200
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,10.6,7.9,9.4,216
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,AS8,Automatic,PREMIUM GASOLINE,10.6,7.7,9.3,214
BMW,ALPINA B6 XDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Automatic,PREMIUM GASOLINE,15.2,9.8,12.8,294
BMW,ALPINA B7 XDRIVE LWB,FULL-SIZE,4.4,8,AS8,Automatic,PREMIUM GASOLINE,15.2,9.8,12.8,294
BMW,ALPINA B7 XDRIVE SWB,FULL-SIZE,4.4,8,AS8,Automatic,PREMIUM GASOLINE,15.2,9.8,12.8,294
BMW,M235I CABRIOLET,SUBCOMPACT,3.0,6,AS8,Automatic,PREMIUM GASOLINE,11.8,8.1,10.2,235
BMW,M235I CABRIOLET,SUBCOMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,12.3,9.0,10.8,248
BMW,M235I COUPE,SUBCOMPACT,3.0,6,AS8,Automatic,PREMIUM GASOLINE,11.8,8.1,10.2,235
BMW,M235I COUPE,SUBCOMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,11.9,8.5,10.4,239
BMW,M235I XDRIVE COUPE,SUBCOMPACT,3.0,6,AS8,Automatic,PREMIUM GASOLINE,11.9,7.8,10.0,230
BMW,M3 SEDAN,COMPACT,3.0,6,AM7,Automatic,PREMIUM GASOLINE,14.2,9.6,12.1,278
BMW,M3 SEDAN,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,13.7,9.0,11.6,267
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Automatic,PREMIUM GASOLINE,14.1,9.7,12.1,278
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,14.1,9.0,11.8,271
BMW,M4 COUPE,COMPACT,3.0,6,AM7,Automatic,PREMIUM GASOLINE,14.1,9.7,12.1,278
BMW,M4 COUPE,COMPACT,3.0,6,M6,Manual,PREMIUM GASOLINE,13.7,9.0,11.6,267
BMW,M5 SEDAN,MID-SIZE,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Manual,PREMIUM GASOLINE,16.1,10.8,13.7,315
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.1,10.8,13.7,315
BMW,M6 COUPE,COMPACT,4.4,8,AM7,Automatic,PREMIUM GASOLINE,17.3,11.5,14.7,338
BMW,M6 COUPE,COMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.1,10.8,13.7,315
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Manual,PREMIUM GASOLINE,16.1,10.8,13.7,315
BMW,X1 XDRIVE28I,SUV - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,10.6,7.2,9.1,209
BMW,X1 XDRIVE35I,SUV - SMALL,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.2,8.9,11.2,258
BMW,X3 XDRIVE28D,SUV - SMALL,2.0,4,AS8,Automatic,DIESEL,8.6,6.9,7.9,213
BMW,X3 XDRIVE28I,SUV - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.1,8.4,9.9,228
BMW,X3 XDRIVE35I,SUV - SMALL,3.0,6,AS8,Automatic,PREMIUM GASOLINE,12.7,8.8,10.9,251
BMW,X4 XDRIVE28I,SUV - SMALL,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.7,8.4,10.2,235
BMW,X4 XDRIVE35I,SUV - SMALL,3.0,6,AS8,Automatic,PREMIUM GASOLINE,12.7,8.8,10.9,251
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Automatic,PREMIUM GASOLINE,16.6,12.1,14.6,336
BMW,X5 XDRIVE35D,SUV - STANDARD,3.0,6,AS8,Automatic,DIESEL,9.9,7.2,8.7,235
BMW,X5 XDRIVE35I,SUV - STANDARD,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.0,8.9,11.1,255
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8,AS8,Automatic,PREMIUM GASOLINE,16.1,10.9,13.8,317
BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Automatic,PREMIUM GASOLINE,16.6,12.1,14.6,336
BMW,X6 XDRIVE35I,SUV - STANDARD,3.0,6,AS8,Automatic,PREMIUM GASOLINE,13.0,8.9,11.1,255
BMW,X6 XDRIVE50I,SUV - STANDARD,4.4,8,AS8,Automatic,PREMIUM GASOLINE,16.1,10.9,13.8,317
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4,AS8,Automatic,PREMIUM GASOLINE,10.7,7.1,9.1,209
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4,M6,Manual,PREMIUM GASOLINE,10.7,6.9,9.0,207
BMW,Z4 SDRIVE35I,TWO-SEATER,3.0,6,AM7,Automatic,PREMIUM GASOLINE,13.7,10.0,12.1,278
BMW,Z4 SDRIVE35IS,TWO-SEATER,3.0,6,AM7,Automatic,PREMIUM GASOLINE,13.7,10.0,12.1,278
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Automatic,REGULAR GASOLINE,14.2,9.9,12.3,283
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.7,8.6,11.4,262
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Automatic,ETHANOL,18.7,12.4,15.8,253
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.9,9.1,11.7,269
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Automatic,ETHANOL,18.6,12.6,15.9,254
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.4,7.9,9.8,225
BUICK,REGAL,MID-SIZE,2.0,4,M6,Manual,PREMIUM GASOLINE,11.6,7.6,9.8,225
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,12.4,8.7,10.7,246
BUICK,VERANO,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.4,7.9,9.8,225
BUICK,VERANO,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,11.6,7.6,9.8,225
BUICK,VERANO,COMPACT,2.4,4,AS6,Automatic,REGULAR GASOLINE,11.1,7.4,9.4,216
CADILLAC,ATS,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.1,7.9,9.7,223
CADILLAC,ATS,COMPACT,2.0,4,M6,Manual,PREMIUM GASOLINE,12.2,7.9,10.3,237
CADILLAC,ATS,COMPACT,2.5,4,AS6,Automatic,REGULAR GASOLINE,11.1,7.2,9.3,214
CADILLAC,ATS,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.8,8.4,10.8,248
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.5,8.5,10.2,235
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.8,8.9,11.0,253
CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.5,7.9,9.9,228
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,Automatic,REGULAR GASOLINE,12.8,8.2,10.7,246
CADILLAC,CTS AWD,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,12.3,8.5,10.6,244
CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.8,8.9,11.0,253
CADILLAC,CTS VSPORT,MID-SIZE,3.6,6,AS8,Automatic,PREMIUM GASOLINE,15.1,9.9,12.7,292
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Automatic,PREMIUM GASOLINE,16.2,11.4,14.0,322
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Automatic,PREMIUM GASOLINE,15.9,11.1,13.8,317
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A6,Automatic,PREMIUM GASOLINE,16.8,11.7,14.5,334
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Automatic,PREMIUM GASOLINE,16.4,11.7,14.3,329
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,Automatic,REGULAR GASOLINE,14.2,9.8,12.3,283
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.6,8.6,11.3,260
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.7,8.9,11.6,267
CADILLAC,XTS VSPORT AWD,FULL-SIZE,3.6,6,AS6,Automatic,PREMIUM GASOLINE,14.8,9.9,12.6,290
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,13.3,8.8,11.3,260
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,Manual,REGULAR GASOLINE,14.0,8.4,11.5,265
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Automatic,PREMIUM GASOLINE,15.3,9.8,12.8,294
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Manual,PREMIUM GASOLINE,15.0,9.9,12.7,292
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.6,7.9,10.5,242
CHEVROLET,CAMARO Z/28,COMPACT,6.2,8,M6,Manual,PREMIUM GASOLINE,18.1,12.3,15.5,357
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Automatic,PREMIUM GASOLINE,19.9,13.0,16.8,386
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Manual,PREMIUM GASOLINE,16.6,12.4,14.7,338
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,Automatic,REGULAR GASOLINE,9.7,9.0,9.4,216
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,Automatic,REGULAR GASOLINE,11.9,8.8,10.5,242
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,Manual,REGULAR GASOLINE,12.2,9.1,10.8,248
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,13.0,9.2,11.3,260
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,Automatic,REGULAR GASOLINE,12.7,9.5,11.3,260
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,13.5,9.8,11.8,271
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Automatic,PREMIUM GASOLINE,14.6,8.1,11.7,269
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Automatic,PREMIUM GASOLINE,17.7,10.2,14.3,329
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Manual,PREMIUM GASOLINE,15.7,10.6,13.4,308
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,Manual,REGULAR GASOLINE,9.0,6.2,7.8,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,Automatic,REGULAR GASOLINE,10.5,6.8,8.8,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,Manual,REGULAR GASOLINE,9.4,6.6,8.1,186
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,Automatic,REGULAR GASOLINE,9.0,6.1,7.7,177
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,Automatic,REGULAR GASOLINE,10.5,7.3,9.1,209
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,Automatic,ETHANOL,15.6,10.8,13.4,214
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,14.2,9.5,12.1,278
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,Automatic,REGULAR GASOLINE,11.5,8.2,10.0,230
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,Automatic,ETHANOL,16.3,11.6,14.2,227
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,Automatic,REGULAR GASOLINE,21.0,14.2,18.0,414
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,Automatic,REGULAR GASOLINE,22.0,14.9,18.8,432
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,Automatic,REGULAR GASOLINE,22.0,14.9,18.8,432
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,Automatic,ETHANOL,30.3,20.5,25.9,414
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,Automatic,REGULAR GASOLINE,21.3,14.3,18.1,416
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,Automatic,REGULAR GASOLINE,22.2,15.1,19.0,437
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,Automatic,REGULAR GASOLINE,22.2,15.1,19.0,437
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,Automatic,ETHANOL,30.6,20.6,26.1,418
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,Automatic,REGULAR GASOLINE,10.6,7.5,9.2,212
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Automatic,REGULAR GASOLINE,12.5,8.2,10.6,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Automatic,ETHANOL,17.0,11.5,14.5,232
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Automatic,PREMIUM GASOLINE,11.4,7.9,9.8,225
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Automatic,REGULAR GASOLINE,13.4,9.9,11.9,274
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Automatic,ETHANOL,19.3,14.3,17.1,274
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,Automatic,ETHANOL,19.9,13.8,17.2,275
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Automatic,PREMIUM GASOLINE,16.1,11.4,14.0,322
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Automatic,REGULAR GASOLINE,14.1,10.6,12.5,288
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Automatic,ETHANOL,20.3,15.2,18.0,288
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,Automatic,REGULAR GASOLINE,14.9,10.7,13.0,299
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,Automatic,ETHANOL,20.2,14.3,17.5,280
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Automatic,PREMIUM GASOLINE,16.3,11.6,14.2,327
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.0,6.8,8.0,184
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,Automatic,REGULAR GASOLINE,9.6,6.7,8.3,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,Manual,REGULAR GASOLINE,9.0,6.8,8.0,184
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,Manual,REGULAR GASOLINE,8.9,6.9,8.0,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.0,6.8,8.0,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,Manual,REGULAR GASOLINE,8.5,6.2,7.5,173
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,Automatic,REGULAR GASOLINE,9.6,6.7,8.3,191
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,Manual,REGULAR GASOLINE,9.0,6.8,8.0,184
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,Manual,REGULAR GASOLINE,8.9,6.9,8.0,184
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,Automatic,REGULAR GASOLINE,7.7,6.1,7.0,161
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,Manual,REGULAR GASOLINE,7.5,6.0,6.8,156
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,Automatic,REGULAR GASOLINE,14.9,10.1,12.7,292
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,Automatic,ETHANOL,20.2,13.6,17.2,275
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,Automatic,REGULAR GASOLINE,15.4,10.8,13.3,306
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,Automatic,ETHANOL,22.1,15.4,19.1,306
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,Automatic,REGULAR GASOLINE,14.9,10.1,12.7,292
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,Automatic,ETHANOL,20.2,13.6,17.2,275
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,Automatic,REGULAR GASOLINE,15.1,10.4,13.0,299
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,Automatic,ETHANOL,20.5,14.0,17.6,282
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,Automatic,REGULAR GASOLINE,14.2,9.9,12.3,283
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.2,7.0,8.2,189
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,Manual,REGULAR GASOLINE,9.1,6.9,8.1,186
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,Automatic,REGULAR GASOLINE,9.7,7.6,8.7,200
CHRYSLER,200,MID-SIZE,2.4,4,A9,Automatic,REGULAR GASOLINE,10.2,6.4,8.5,196
CHRYSLER,200 FFV,MID-SIZE,2.4,4,A9,Automatic,REGULAR GASOLINE,10.2,6.4,8.5,196
CHRYSLER,200 FFV,MID-SIZE,2.4,4,A9,Automatic,ETHANOL,13.6,8.5,11.3,181
CHRYSLER,200,MID-SIZE,3.6,6,A9,Automatic,REGULAR GASOLINE,12.4,7.5,10.2,235
CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,Automatic,REGULAR GASOLINE,12.4,7.5,10.2,235
CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,Automatic,ETHANOL,16.5,10.1,13.6,218
CHRYSLER,200 AWD,MID-SIZE,3.6,6,A9,Automatic,REGULAR GASOLINE,12.8,8.1,10.7,246
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,Automatic,REGULAR GASOLINE,12.8,8.1,10.7,246
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,Automatic,ETHANOL,16.9,10.8,14.1,226
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A8,Automatic,REGULAR GASOLINE,14.8,9.3,12.3,283
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,Automatic,REGULAR GASOLINE,12.4,7.8,10.3,237
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Manual,PREMIUM GASOLINE,16.8,10.4,13.9,320
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A8,Automatic,REGULAR GASOLINE,14.8,9.3,12.3,283
DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8,A8,Automatic,PREMIUM GASOLINE,15.7,9.5,12.9,297
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A8,Automatic,PREMIUM GASOLINE,15.7,9.5,12.9,297
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,A8,Automatic,PREMIUM GASOLINE,18.0,10.7,14.7,338
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,M6,Manual,PREMIUM GASOLINE,18.1,11.4,15.1,347
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,Automatic,REGULAR GASOLINE,13.7,8.9,11.5,264
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,Automatic,REGULAR GASOLINE,13.7,8.9,11.5,264
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,Automatic,ETHANOL,18.7,12.4,15.9,254
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,Automatic,REGULAR GASOLINE,12.4,7.7,10.3,237
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,Automatic,REGULAR GASOLINE,15.7,9.6,12.9,297
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A8,Automatic,REGULAR GASOLINE,14.8,9.3,12.3,283
DODGE,CHARGER SRT 392 HEMI,FULL-SIZE,6.4,8,A8,Automatic,PREMIUM GASOLINE,15.7,9.5,12.9,297
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8,A8,Automatic,PREMIUM GASOLINE,18.0,10.7,14.7,338
DODGE,DART FFV,MID-SIZE,2.0,4,A6,Automatic,ETHANOL,13.3,9.3,11.5,184
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,Automatic,REGULAR GASOLINE,17.3,11.5,14.7,338
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,Automatic,ETHANOL,19.2,13.1,16.4,262
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,Automatic,REGULAR GASOLINE,14.2,9.4,12.1,278
DODGE,VIPER SRT COUPE,TWO-SEATER,8.4,10,M6,Manual,PREMIUM GASOLINE,19.4,11.3,15.8,363
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,A6,Automatic,REGULAR GASOLINE,9.6,7.3,8.6,198
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,A6,Automatic,REGULAR GASOLINE,9.6,7.3,8.6,198
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,A6,Automatic,REGULAR GASOLINE,9.6,7.3,8.6,198
FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,Automatic,REGULAR GASOLINE,10.6,7.8,9.4,216
FIAT,500L,STATION WAGON - SMALL,1.4,4,AM6,Automatic,REGULAR GASOLINE,9.9,7.2,8.7,200
FIAT,500L,STATION WAGON - SMALL,1.4,4,M6,Manual,REGULAR GASOLINE,9.3,7.1,8.3,191
FORD,EDGE,SUV - SMALL,2.0,4,AS6,Automatic,REGULAR GASOLINE,11.5,7.8,9.8,225
FORD,EDGE (START/STOP),SUV - SMALL,2.0,4,AS6,Automatic,REGULAR GASOLINE,11.3,7.9,9.8,225
FORD,EDGE,SUV - SMALL,3.5,6,AS6,Automatic,REGULAR GASOLINE,13.2,9.0,11.3,260
FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,Automatic,REGULAR GASOLINE,11.8,8.4,10.3,237
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,Automatic,REGULAR GASOLINE,13.7,9.6,11.8,271
FORD,EDGE SPORT AWD,SUV - SMALL,2.7,6,AS6,Automatic,REGULAR GASOLINE,13.6,9.8,11.9,274
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,Automatic,REGULAR GASOLINE,10.4,7.4,9.0,207
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,Automatic,REGULAR GASOLINE,10.9,7.6,9.5,218
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,Automatic,REGULAR GASOLINE,10.6,8.0,9.4,216
FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,Automatic,REGULAR GASOLINE,11.4,8.4,10.1,232
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,16.2,11.8,14.2,327
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,16.4,12.0,14.4,331
FORD,EXPLORER,SUV - STANDARD,2.0,4,A6,Automatic,REGULAR GASOLINE,11.9,8.5,10.4,239
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,Automatic,ETHANOL,18.6,13.0,16.1,258
FORD,EXPLORER AWD (ECOBOOST),SUV - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,14.9,10.7,13.0,299
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,14.2,10.3,12.5,288
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,Automatic,ETHANOL,19.2,14.1,16.9,270
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS6,Automatic,REGULAR GASOLINE,12.2,9.2,10.8,248
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,13.7,9.9,12.0,276
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,Automatic,REGULAR GASOLINE,13.2,9.6,11.5,264
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,Automatic,ETHANOL,17.9,13.0,15.7,251
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,Automatic,REGULAR GASOLINE,15.5,10.6,13.3,306
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,Automatic,ETHANOL,20.7,14.3,17.9,286
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS6,Automatic,REGULAR GASOLINE,13.3,10.4,12.0,276
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,Automatic,REGULAR GASOLINE,14.2,10.4,12.5,288
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,Automatic,REGULAR GASOLINE,13.9,10.5,12.4,285
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,Automatic,ETHANOL,18.9,14.2,16.8,269
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,Automatic,REGULAR GASOLINE,16.0,11.3,13.9,320
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,Automatic,ETHANOL,21.7,15.1,18.7,299
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,Automatic,REGULAR GASOLINE,8.7,6.4,7.6,175
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,Manual,REGULAR GASOLINE,8.5,6.5,7.6,175
FORD,FIESTA SFE,SUBCOMPACT,1.0,3,M5,Manual,REGULAR GASOLINE,7.5,5.5,6.6,152
FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,Automatic,REGULAR GASOLINE,8.4,6.2,7.4,170
FORD,FIESTA ST,SUBCOMPACT,1.6,4,M6,Manual,REGULAR GASOLINE,8.9,6.8,8.0,184
